,symbol,start_date,sector
0,EQIX,2018-04-01,Real Estate
1,AMZN,2018-04-01,Consumer Discretionary
2,AZO,2018-04-01,Consumer Discretionary
15,AMZN,2018-07-01,Consumer Discretionary
14,AZO,2018-07-01,Consumer Discretionary
13,CMG,2018-07-01,Consumer Discretionary
19,AZO,2018-10-01,Consumer Discretionary
7,BKNG,2019-01-01,Consumer Discretionary
5,BLK,2019-01-01,Financials
6,CMG,2019-01-01,Consumer Discretionary
8,EQIX,2019-04-01,Real Estate
10,AMZN,2019-04-01,Consumer Discretionary
9,BDX,2019-04-01,Health Care
4,BKNG,2019-07-01,Consumer Discretionary
3,EQIX,2019-07-01,Real Estate
18,BKNG,2019-10-01,Consumer Discretionary
16,BLK,2019-10-01,Financials
17,SHW,2019-10-01,Materials
11,EQIX,2020-01-01,Real Estate
12,AMZN,2020-01-01,Consumer Discretionary
